,date,bike_rides_daily,avgTemp
0,2022-01-01,23.0,11.6
1,2022-01-02,35.0,11.4
2,2022-01-03,26.0,1.4
3,2022-01-04,40.0,-2.7
4,2022-01-05,40.0,3.2
5,2022-01-06,43.0,4.9
6,2022-01-07,15.0,0.7
7,2022-01-08,23.0,-2.5
8,2022-01-09,17.0,1.4
9,2022-01-10,34.0,1.6
10,2022-01-11,23.0,-5.4
11,2022-01-12,50.0,-1.9
12,2022-01-13,52.0,4.0
13,2022-01-14,32.0,4.8
14,2022-01-15,23.0,-6.7
15,2022-01-16,19.0,-8.0
16,2022-01-17,31.0,3.9
17,2022-01-18,39.0,1.8
18,2022-01-19,58.0,3.2
19,2022-01-20,36.0,5.1
20,2022-01-21,25.0,-6.0
21,2022-01-22,29.0,-5.9
22,2022-01-23,34.0,-0.7
23,2022-01-24,41.0,-0.20000000000000004
24,2022-01-25,59.0,3.6
25,2022-01-26,45.0,-2.3
26,2022-01-27,38.0,-4.2
27,2022-01-28,36.0,0.1
28,2022-01-29,2.0,-4.8
29,2022-01-30,6.0,-7.099999999999999
30,2022-01-31,16.0,-3.4
31,2022-02-01,27.0,-1.7
32,2022-02-02,54.0,2.3
33,2022-02-03,31.0,6.4
34,2022-02-04,19.0,5.8
35,2022-02-05,19.0,-2.8
36,2022-02-06,25.0,-4.8
37,2022-02-07,29.0,0.5
38,2022-02-08,57.0,4.1
39,2022-02-09,64.0,2.8
40,2022-02-10,59.0,6.3
41,2022-02-11,64.0,8.6
42,2022-02-12,73.0,11.8
43,2022-02-13,20.0,2.8
44,2022-02-14,43.0,-4.3
45,2022-02-15,37.0,-4.7
46,2022-02-16,45.0,1.6
47,2022-02-17,54.0,11.6
48,2022-02-18,40.0,9.9
49,2022-02-19,35.0,0.1
50,2022-02-20,31.0,-2.6
51,2022-02-21,55.0,4.1
52,2022-02-22,28.0,5.6
53,2022-02-23,73.0,14.4
54,2022-02-24,43.0,1.1
55,2022-02-25,26.0,0.8
56,2022-02-26,41.0,-1.1
57,2022-02-27,49.0,2.4
58,2022-02-28,44.0,0.8
59,2022-03-01,55.0,2.6
60,2022-03-02,69.0,7.700000000000001
61,2022-03-03,48.0,5.599999999999999
62,2022-03-04,38.0,-1.9000000000000001
63,2022-03-05,33.0,3.1
64,2022-03-06,59.0,9.6
65,2022-03-07,63.0,18.2
66,2022-03-08,59.0,8.7
67,2022-03-09,33.0,3.2
68,2022-03-10,73.0,4.0
69,2022-03-11,63.0,7.2
70,2022-03-12,24.0,5.1
71,2022-03-13,37.0,-2.3
72,2022-03-14,65.0,5.3
73,2022-03-15,88.0,11.6
74,2022-03-16,78.0,13.6
75,2022-03-17,59.0,8.2
76,2022-03-18,95.0,13.9
77,2022-03-19,85.0,13.1
78,2022-03-20,64.0,14.3
79,2022-03-21,74.0,10.4
80,2022-03-22,86.0,10.7
81,2022-03-23,52.0,7.200000000000001
82,2022-03-24,33.0,5.7
83,2022-03-25,74.0,9.6
84,2022-03-26,81.0,10.4
85,2022-03-27,42.0,5.9
86,2022-03-28,44.0,-1.5
87,2022-03-29,47.0,-1.2
88,2022-03-30,68.0,2.6
89,2022-03-31,72.0,9.9
90,2022-04-01,79.0,13.099999999999998
91,2022-04-02,74.0,7.200000000000001
92,2022-04-03,32.0,7.0
93,2022-04-04,63.0,7.6
94,2022-04-05,64.0,9.7
95,2022-04-06,43.0,8.6
96,2022-04-07,30.0,9.1
97,2022-04-08,89.0,12.8
98,2022-04-09,76.0,11.4
99,2022-04-10,58.0,8.6
100,2022-04-11,81.0,8.8
101,2022-04-12,85.0,13.4
102,2022-04-13,108.0,15.4
103,2022-04-14,85.0,16.3
104,2022-04-15,104.0,15.7
105,2022-04-16,84.0,15.7
106,2022-04-17,59.0,8.3
107,2022-04-18,46.0,7.9
108,2022-04-19,52.0,7.6
109,2022-04-20,85.0,9.4
110,2022-04-21,79.0,10.6
111,2022-04-22,99.0,14.599999999999998
112,2022-04-23,94.0,13.3
113,2022-04-24,93.0,12.8
114,2022-04-25,77.0,10.4
115,2022-04-26,75.0,11.5
116,2022-04-27,77.0,11.6
117,2022-04-28,85.0,8.2
118,2022-04-29,78.0,10.4
119,2022-04-30,109.0,12.900000000000002
120,2022-05-01,101.0,13.6
121,2022-05-02,65.0,12.1
122,2022-05-03,88.0,12.4
123,2022-05-04,76.0,12.0
124,2022-05-05,106.0,17.2
125,2022-05-06,29.0,14.8
126,2022-05-07,16.0,10.0
127,2022-05-08,84.0,10.4
128,2022-05-09,101.0,13.5
129,2022-05-10,100.0,15.4
130,2022-05-11,109.0,16.1
131,2022-05-12,119.0,17.1
132,2022-05-13,99.0,16.0
133,2022-05-14,74.0,17.9
134,2022-05-15,109.0,18.800000000000004
135,2022-05-16,91.0,20.4
136,2022-05-17,122.0,19.7
137,2022-05-18,137.0,17.8
138,2022-05-19,94.0,15.5
139,2022-05-20,93.0,15.4
140,2022-05-21,114.0,21.2
141,2022-05-22,91.0,27.8
142,2022-05-23,104.0,21.0
143,2022-05-24,104.0,17.4
144,2022-05-25,131.0,16.2
145,2022-05-26,108.0,16.4
146,2022-05-27,83.0,20.2
147,2022-05-28,90.0,20.4
148,2022-05-29,82.0,20.7
149,2022-05-30,92.0,23.3
150,2022-05-31,91.0,28.3
151,2022-06-01,84.0,17.8
152,2022-06-02,107.0,20.3
153,2022-06-03,114.0,19.5
154,2022-06-04,130.0,21.9
155,2022-06-05,107.0,20.0
156,2022-06-06,100.0,22.2
157,2022-06-07,103.0,21.8
158,2022-06-08,150.0,23.7
159,2022-06-09,110.0,24.4
160,2022-06-10,122.0,21.8
161,2022-06-11,122.0,21.8
162,2022-06-12,90.0,20.5
163,2022-06-13,113.0,24.2
164,2022-06-14,101.0,23.899999999999995
165,2022-06-15,120.0,23.3
166,2022-06-16,99.0,20.3
167,2022-06-17,126.0,25.2
168,2022-06-18,131.0,21.7
169,2022-06-19,95.0,17.3
170,2022-06-20,106.0,20.5
171,2022-06-21,108.0,22.1
172,2022-06-22,100.0,19.1
173,2022-06-23,131.0,19.2
174,2022-06-24,117.0,21.9
175,2022-06-25,102.0,25.8
176,2022-06-26,103.0,27.0
177,2022-06-27,92.0,24.3
178,2022-06-28,134.0,22.4
179,2022-06-29,141.0,23.9
180,2022-06-30,119.0,25.4
181,2022-07-01,114.0,28.1
182,2022-07-02,73.0,28.7
183,2022-07-03,99.0,26.9
184,2022-07-04,112.0,25.6
185,2022-07-05,98.0,25.9
186,2022-07-06,119.0,26.0
187,2022-07-07,118.0,24.2
188,2022-07-08,95.0,23.5
189,2022-07-09,113.0,24.7
190,2022-07-10,106.0,23.399999999999995
191,2022-07-11,113.0,24.0
192,2022-07-12,121.0,25.8
193,2022-07-13,134.0,28.9
194,2022-07-14,111.0,26.600000000000005
195,2022-07-15,135.0,26.1
