,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
896940,W 21 St & 6 Ave,9 Ave & W 22 St,40.74174206443258,-73.99415042949697,40.74549729995272,-74.00197138993853,6345
6539,1 Ave & E 62 St,1 Ave & E 68 St,40.761222805809474,-73.9609393012209,40.765005249957085,-73.95818491001545,5826
722609,Norfolk St & Broome St,Henry St & Grand St,40.71722157810076,-73.98801291093754,40.714211,-73.981095,4883
990533,West St & Chambers St,Pier 40 - Hudson River Park,40.717553360676916,-74.0132186778425,40.72771407665796,-74.01129573963944,4584
1013380,Yankee Ferry Terminal,Soissons Landing,40.68706673768965,-74.01675352345828,40.69231664711074,-74.01486578082762,4556
724267,North Moore St & Greenwich St,Vesey St & Church St,40.72019556209845,-74.01030184891644,40.71221958009051,-74.01047229766846,4523
897722,W 21 St & 6 Ave,W 22 St & 10 Ave,40.74174413521626,-73.99413902890595,40.74691959083673,-74.00451887026531,4410
584602,Henry St & Grand St,Norfolk St & Broome St,40.71421825322086,-73.9811016950733,40.71722739935245,-73.98802084025903,4324
800524,Soissons Landing,Yankee Ferry Terminal,40.692319573379564,-74.0148647949695,40.68706580872988,-74.01675585858834,4299
743573,Pier 40 - Hudson River Park,West St & Chambers St,40.72771413676271,-74.01129443730183,40.71754833041687,-74.01322069873756,4222
782274,Roosevelt Island Tramway,Motorgate,40.75728114163155,-73.9535970274586,40.76390890474495,-73.94772128576513,4215
702081,Motorgate,Roosevelt Island Tramway,40.76391891688626,-73.94772751077754,40.757284,-73.9536,4194
713886,N 6 St & Bedford Ave,S 4 St & Wythe Ave,40.717450083678386,-73.95851271508204,40.71285887,-73.96590294,4175
899324,W 22 St & 10 Ave,W 22 St & 8 Ave,40.74691460218255,-74.0045041368877,40.74475147964998,-73.99915362027711,4114
7660,1 Ave & E 68 St,1 Ave & E 78 St,40.76500585896876,-73.95818096807399,40.77140425986686,-73.95351660020481,3906
294799,Central Park S & 6 Ave,5 Ave & E 87 St,40.765911113885,-73.97634486067534,40.78232264457296,-73.95987509667572,3878
22380,12 Ave & W 40 St,West St & Chambers St,40.76087645817923,-74.002780127412,40.717548323431835,-74.01322070510628,3858
677648,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,40.735559723181204,-73.95284182097794,40.742327438613444,-73.95411748845589,3808
